orig,dest
17560,17560
8388,8388
25770,25770
1198,30223
1198,1198
25792,25792
1217,1217
1221,1221
1222,1222
1223,1223
1232,1232
9428,9428
1240,1240
9438,9438
1247,1247
17642,18284
17642,17481
17642,17432
9454,9454
9459,9459
17653,17653
1279,30223
1279,1279
5675,5675
5675,4627
9480,9480
25870,25870
25870,21871
9487,9487
25874,25874
17684,17684
9496,9496
9499,9499
9499,11596
1309,1309
9507,9507
9507,11596
17702,17702
9520,9520
9537,9537
9537,11596
9539,9539
12513,17481
12513,12513
12513,17432
9547,9547
9549,9549
9553,9553
9556,9556
17754,17754
9572,9572
9572,9572
9572,11596
9572,9572
9572,9572
9578,9578
9592,9592
9598,9598
9606,9606
9606,9606
9606,9606
9606,9606
25995,25995
9612,9612
9615,9615
26001,26001
26001,31175
9618,9618
9625,9625
26011,26011
26011,30223
9636,9636
9639,9639
3867,3867
3867,4820
9645,9645
9646,9646
9646,11596
9660,9660
26049,26049
26049,31197
26049,31175
9668,9668
9668,11596
9682,9682
1499,30223
1499,1499
9709,9709
9714,9714
17910,17910
8447,8447
9726,9726
9731,9731
15277,11596
15277,15277
12547,17481
12547,12547
9754,11596
9754,9754
17967,17967
17967,11596
1588,1588
17982,17982
1606,27470
1606,1606
17994,17994
9804,9804
28423,28423
28423,21871
18006,18006
18006,4820
18007,18007
18011,18011
18021,18021
18021,11596
26226,29700
26226,31197
26226,31175
26226,26226
18038,18038
18040,16126
16660,16660
16660,17481
26240,26240
26245,26245
1681,30223
1681,1681
9874,9874
18067,16126
18067,18067
18067,4820
9883,9883
9884,9884
9884,9884
9884,9884
9884,9884
9892,9892
26289,26289
26289,30223
9922,9922
9924,9924
9934,9934
9935,9935
1769,1769
18161,17481
18161,17432
18163,18163
18165,18165
18165,16126
18170,4820
18171,18171
18171,4627
4397,4397
10000,10000
10001,10001
26390,26390
26390,30223
18201,18201
18205,17481
18205,18205
18205,17432
1827,1827
26419,26419
10052,10052
18246,18246
13965,13965
13965,16126
20793,31197
20793,17432
20793,20793
20793,21871
10081,10081
10100,10100
19433,21591
10108,10108
10111,10111
10123,10123
20803,17432
20803,20803
20803,21871
20803,9217
10134,10134
18329,18329
26267,26267
10149,10149
10150,10150
10166,10166
10168,10168
10180,10180
10180,11596
10187,10187
18395,18395
2015,2015
26597,26597
2023,27470
2023,2023
18411,13676
18411,14093
18411,13892
18411,14019
18411,13714
18411,14172
18411,13934
18411,14125
18411,18011
18411,14182
18411,13799
18411,14084
18411,13342
18411,15368
18411,13470
18411,13757
18411,15302
18411,15301
18411,13587
18411,17982
18411,14288
18411,18006
18411,13832
18411,13737
18411,13995
18411,14025
18411,14146
18411,14023
18411,13605
18411,13544
18411,16891
18411,15667
18411,14290
18411,13560
18411,13919
18411,13884
18411,18170
18411,13836
18411,15919
18411,13819
18411,13447
18411,13897
18411,13898
18411,17490
18411,14290
18411,17130
18411,13844
18411,18165
18411,14164
18411,17068
18411,13632
18411,15403
18411,15439
18411,14020
18411,15950
18411,17185
18411,13540
18411,14161
18411,13604
18411,16352
18411,15385
18411,13480
18411,13868
18411,13475
18411,18067
18411,16870
18411,3804
18411,16835
18411,16836
18411,13723
18411,14333
18411,4192
18411,3713
18411,5864
18411,4036
18411,4633
18411,3824
18411,6438
18411,30865
18411,30766
18411,18564
18411,12207
18411,12513
18411,18205
18411,12221
18411,12649
18411,12000
18411,13082
18411,13062
18411,19308
18411,19990
18411,19247
18411,19457
18411,10503
18411,8112
18411,9480
18411,7100
18411,11115
18411,9754
18411,16694
18411,18329
18411,16428
18411,16305
10220,10220
18422,18422
26618,26618
18427,17481
18427,18427
18427,17432
18427,21591
18432,18432
18432,21871
10242,10242
5803,5803
5803,31197
5803,5803
5803,5803
18442,31197
18442,18442
18442,21871
18449,18449
18449,21871
18449,9217
10266,10266
10276,10276
10286,10286
10289,19486
10289,20540
10289,10790
10289,10758
10289,10569
10289,10862
10289,10910
10289,10830
10289,10786
10289,10589
10289,10945
10289,10608
10289,10914
10289,10289
10289,10709
10289,10503
10289,10798
10289,11033
10289,10868
10289,10820
10289,11274
10289,11266
10289,10604
10289,8239
10289,8114
10289,7822
10289,11554
10289,11459
10289,11081
10289,10150
10289,10134
10289,11419
10289,11024
10289,11446
10289,10276
10289,10092
10289,10242
10289,10001
26674,26674
26674,27470
26682,27470
26682,26682
26682,31197
26694,26694
26694,27470
2169,2169
18562,18562
18564,18564
18564,21871
18577,18577
18577,31197
18577,21871
18577,21591
26772,26772
26781,26781
26781,30223
26781,31197
26802,26802
26812,31200
26812,26812
26812,29700
26812,31175
18631,18631
2251,2251
26832,26832
18648,18648
18648,31197
18648,21871
2280,30223
2280,2280
26862,31197
14036,21591
16768,16126
16768,4627
16768,18284
16768,17481
16768,21871
16768,11596
18692,18692
18692,21871
10503,21871
10503,10503
18700,16126
18700,18700
18700,21871
18706,31175
18706,18706
18712,18712
18715,18715
18742,18742
18760,18760
18760,21871
10569,10569
18762,16126
18762,18762
18762,21871
2379,2379
2379,30223
18767,18767
18767,21871
10589,10589
10604,10604
2415,2415
2416,2416
26993,30223
26993,26993
27006,31197
27006,31175
27006,27006
2447,30223
2447,2447
2467,2467
2467,30223
10673,10673
2482,2482
2499,4108
2499,5271
2499,3898
2499,3913
2499,5803
2499,27337
2499,23144
2499,26674
2499,26832
2499,23572
2499,24504
2499,24938
2499,24101
2499,24184
2499,23970
2499,25674
2499,25023
2499,1827
2499,24769
2499,23836
2499,25167
2499,26618
2499,24889
2499,24404
2499,23374
2499,29603
2499,22127
2499,25142
2499,24327
2499,637
2499,2739
2499,651
2499,822
2499,1232
2499,864
2499,31267
2499,595
2499,1106
2499,862
2499,1240
2499,764
2499,1995
2499,2482
2499,1606
2499,2169
2499,2888
2499,1082
2499,3049
2499,709
2499,2499
2499,655
2499,970
2499,545
2499,590
2499,516
2499,1247
2499,25056
2499,1223
2499,2467
2499,28656
2499,25995
2499,25050
2499,25045
2499,26289
2499,25189
2499,25190
2499,26781
2499,28512
2499,23951
2499,2251
2499,572
2499,30223
2499,24807
2499,23037
2499,24637
2499,29210
2499,23375
2499,23598
2499,24915
2499,23986
2499,24623
2499,23409
2499,30573
2499,28281
2499,2531
2499,2280
2499,1769
2499,878
2499,877
2499,1490
2499,2598
2499,1020
2499,948
2499,772
2499,2415
2499,2447
2499,1120
2499,921
2499,756
2499,521
2499,966
2499,1221
2499,1222
2499,729
2499,2821
2499,103
2499,61
2499,384
2499,62
2499,63
2499,312
2499,177
2499,86
2499,71
2499,172
2499,25870
2499,31197
2499,30964
2499,30685
2499,18712
2499,19389
27083,29700
27083,31197
27083,27083
10709,10709
12359,21871
10720,10720
2531,2531
10726,10726
10742,10742
18936,18936
10758,10758
18953,21591
18953,18953
1995,1995
18962,18962
18962,21871
10775,10775
27164,31200
10786,10786
10790,21871
10790,10790
18984,21871
18984,9217
18984,21591
18984,18984
10798,10798
27186,31200
27186,27186
27186,29700
27186,31175
10807,10807
10813,10813
10820,21591
10820,10820
10828,10828
10828,11596
10999,10999
10999,11596
10838,10838
19031,21871
19031,19031
3891,3891
10850,10850
19044,19044
19044,21871
10859,21871
10859,10859
19053,19053
19053,21871
10862,10862
10868,21871
10868,10868
10868,11596
10874,10874
19072,19072
19072,21871
19073,19073
25027,25027
19095,21871
19095,9217
19095,19095
19095,21591
10910,21871
10910,10910
19105,19105
10914,10914
19114,19114
19114,21871
19114,9217
19114,21591
27309,31200
27309,27309
27309,29700
27309,31197
27309,31175
2739,26674
2739,24906
2739,25204
2739,24099
2739,23416
2739,24327
2739,663
2739,637
2739,585
2739,2739
2739,651
2739,862
2739,764
2739,1001
2739,1606
2739,2169
2739,2888
2739,709
2739,30073
2739,30157
2739,22958
2739,2598
2739,2430
2739,756
2739,1134
19137,19137
19137,21871
19137,9217
19137,21591
19138,19138
19138,21871
27337,27337
27337,27470
27349,27349
19162,19162
27358,27358
27358,30223
27358,21871
10991,10991
10991,11596
10994,10994
10994,11596
19191,21871
19191,19191
19191,21591
19196,19196
19196,21871
19196,9217
2821,2821
19206,19206
19207,31197
19207,19207
19207,21871
19207,9217
11024,11024
11024,11596
11033,21871
11033,11033
19227,19227
19227,21591
19228,19228
19239,19239
19247,19247
19249,21871
19249,21591
19249,19249
19256,19256
19256,19256
19256,19256
19256,21871
19259,19259
19259,21871
19269,21871
19269,21591
19269,19269
2888,27470
2888,2888
2888,31175
11081,21591
11081,11081
27468,27470
27468,27468
27470,27470
11091,11091
19285,21871
19285,9217
19285,19285
19285,21591
24647,24647
11115,11115
11115,11596
19308,19308
19308,21871
19308,9217
19308,21591
2935,2935
11141,11141
19345,17481
19345,19345
19345,21871
19345,21591
27550,29700
27550,27550
27550,31197
27550,31175
27550,21871
19368,19368
19368,21591
27563,29700
27563,31197
27563,31175
19373,19373
19373,9217
2996,2996
19389,19389
19389,21871
19389,9217
19426,21871
19426,19426
3049,3049
19444,21871
19444,19444
19444,21591
19457,21871
19457,19457
19457,21591
11266,21871
11266,11266
19463,19463
19463,21871
19463,21591
11274,11274
19482,19482
19482,21871
19486,19486
19486,9217
14172,14172
27698,31200
8713,8713
11358,11358
14290,16126
19561,19561
12819,12819
11396,11396
10092,10092
10092,11596
30573,30573
19602,19602
19602,17432
19602,21871
11419,11419
3241,3241
3241,4820
11435,11435
11435,11596
11446,11446
19640,21871
19640,19640
11449,11449
11449,11596
3260,3260
3264,3264
3266,3266
