osmid,igraph_id
25457926,1
25457946,2
26392420,3
26404828,4
26404847,5
26409219,6
31354449,7
31354455,8
31416615,9
31416627,10
65381947,11
65381949,12
65382150,13
65382151,14
65382835,15
65383514,16
65385658,17
65385662,18
65386929,19
65386951,20
65387029,21
65387030,22
65387776,23
65388423,24
65388426,25
65388434,26
65388468,27
65388472,28
65388476,29
65388481,30
65388486,31
65388949,32
65390658,33
65392072,34
65392087,35
65396531,36
65396532,37
65397302,38
65399221,39
65402173,40
65402815,41
65403253,42
65406434,43
65408929,44
65409379,45
65409383,46
65409390,47
65409453,48
65409712,49
65411864,50
65412009,51
65413306,52
65414307,53
65415167,54
65415173,55
65415966,56
65420207,57
65420210,58
65420249,59
65420250,60
65421188,61
65421194,62
65427939,63
65427963,64
65428215,65
65428233,66
65428240,67
65428872,68
65429600,69
65429611,70
65429628,71
65429647,72
65429658,73
65429915,74
65429940,75
65432628,76
65432685,77
65448187,78
65448189,79
65448270,80
65448290,81
65448335,82
65449745,83
65452487,84
65452493,85
65452505,86
65461179,87
65463154,88
65463158,89
65463167,90
65463169,91
65463171,92
65465795,93
65465799,94
65465804,95
65465813,96
65467858,97
65468291,98
65468303,99
65468359,100
65468398,101
65474735,102
65475277,103
65475291,104
65482291,105
65482297,106
65482410,107
65482415,108
65491626,109
65491633,110
65492778,111
65492789,112
65492791,113
65493420,114
65493469,115
65493471,116
65498439,117
65498446,118
65499439,119
65499483,120
65501255,121
65502774,122
65502778,123
65505908,124
65512165,125
65512168,126
65512177,127
65512187,128
65513572,129
65513574,130
65518950,131
65520757,132
65521834,133
65521838,134
65523414,135
65523423,136
65523433,137
65527391,138
65527413,139
65533434,140
65533716,141
65533724,142
65536595,143
65538136,144
65541478,145
65542884,146
65542887,147
65542911,148
65549932,149
65549938,150
65550343,151
65551542,152
65551618,153
65551627,154
65553830,155
65553857,156
65555105,157
65563418,158
65563427,159
65565474,160
65571521,161
65576082,162
65577883,163
65577896,164
65579161,165
65582346,166
65582460,167
65582527,168
65582548,169
65582569,170
65589271,171
65590357,172
65590382,173
65591806,174
65594426,175
65594441,176
65594507,177
65594515,178
65595523,179
65599337,180
65599626,181
65601539,182
65630777,183
65644821,184
65646199,185
65646222,186
65648220,187
65676444,188
89480737,189
89481720,190
90299102,191
90396951,192
90396955,193
90396962,194
90396966,195
90400039,196
90400112,197
90502406,198
90502428,199
90506507,200
90632422,201
90654486,202
90654775,203
90679386,204
90681648,205
90681667,206
90691184,207
90716767,208
90718441,209
90731873,210
90740923,211
252014152,212
252014159,213
252014172,214
252026725,215
252026734,216
252026740,217
260543571,218
260543592,219
260543593,220
261619663,221
261619686,222
291137949,223
291667560,224
291667963,225
291667975,226
291668009,227
291668010,228
291678105,229
292081083,230
292082038,231
292082314,232
292084256,233
292461124,234
292479582,235
293063756,236
293068494,237
293275491,238
293276574,239
293507672,240
293510492,241
293561963,242
293561978,243
294964497,244
295121038,245
298681303,246
298682082,247
299511481,248
303443984,249
306525216,250
306530280,251
306545906,252
306546477,253
306549094,254
306549272,255
306549461,256
306549465,257
308942272,258
310469933,259
314381947,260
315736276,261
315736357,262
319614164,263
332161462,264
332163865,265
338491967,266
367139870,267
367140056,268
369869179,269
369872567,270
382382676,271
386922639,272
386924997,273
386925477,274
392514228,275
412726547,276
420961079,277
420961873,278
420994162,279
421010469,280
667739280,281
685040307,282
685040335,283
692683755,284
704962956,285
704966087,286
704967118,287
704967137,288
704973240,289
705728218,290
717716265,291
717770230,292
717772353,293
918914284,294
1109828315,295
1155669875,296
1155673508,297
1155674762,298
1155678786,299
1155679191,300
1155686634,301
1316419029,302
1333873104,303
1333873111,304
1366376163,305
1504598253,306
1506099779,307
1507060968,308
1507060973,309
1507061026,310
1538722554,311
1583055907,312
1583055909,313
1583055915,314
1583055918,315
1583055934,316
1583055947,317
1696612039,318
1700584688,319
1700584707,320
1707516789,321
1707516802,322
1710790638,323
1710790640,324
1710790644,325
1710790646,326
1741974260,327
1761733534,328
1761733539,329
1761911836,330
1761911865,331
1761911890,332
1768215826,333
1768215866,334
1768215887,335
1768215890,336
1768215892,337
1768222852,338
1768291853,339
1768292374,340
1768295140,341
1768295144,342
1768295145,343
1816506869,344
1816572939,345
1823119988,346
1823120091,347
1967707242,348
1970807506,349
1970807508,350
1970895527,351
2089543713,352
2102457087,353
2125785089,354
2125785117,355
2136820192,356
2149745661,357
2149745662,358
2219949185,359
2219949234,360
2219949278,361
2219949305,362
2219949529,363
2219949578,364
2219949608,365
2399877571,366
2488500930,367
2488532479,368
2663869153,369
2750790922,370
2750790925,371
2844180659,372
2873240896,373
2876495461,374
2876495468,375
2876495476,376
2886229159,377
2886229166,378
2886229176,379
2886229182,380
2886229188,381
2971066281,382
2971066293,383
3317802449,384
3317802450,385
3558586600,386
3581002831,387
3581002833,388
3631928230,389
3631952818,390
3631952820,391
3913869129,392
3913869130,393
3913869135,394
3913869138,395
3913869140,396
3913869141,397
4065351164,398
4065351169,399
4065351175,400
4065351176,401
4065351178,402
4065351181,403
4065351186,404
4065351392,405
4065351394,406
4196393796,407
4370569059,408
4370569067,409
4884166903,410
4906347242,411
4906347246,412
4906347248,413
302888,414
26404753,415
26404760,416
26404800,417
26497302,418
26497307,419
26497327,420
26497329,421
26497337,422
26497399,423
26506871,424
26507022,425
26729676,426
31354462,427
31416651,428
31416653,429
31421261,430
35855220,431
35855281,432
36692371,433
36692486,434
36692493,435
36692554,436
36692556,437
36692560,438
36729526,439
36729537,440
36729541,441
52152854,442
52153071,443
65378297,444
65382445,445
65383062,446
65383796,447
65383817,448
65384329,449
65384926,450
65385477,451
65386016,452
65386079,453
65386522,454
65386838,455
65388075,456
65388078,457
65388177,458
65388187,459
65389129,460
65389143,461
65389165,462
65389190,463
65389220,464
65389424,465
65393023,466
65393573,467
65394065,468
65395291,469
65395299,470
65395395,471
65397325,472
65397340,473
65397388,474
65397500,475
65397868,476
65399156,477
65399160,478
65399605,479
65399671,480
65399694,481
65399696,482
65400527,483
65400530,484
65403787,485
65404604,486
65404608,487
65405154,488
65405649,489
65406102,490
65406231,491
65406234,492
65407751,493
65408118,494
65409520,495
65409732,496
65409774,497
65409821,498
65410100,499
65410340,500
65412660,501
65412683,502
65414026,503
65416856,504
65416869,505
65417820,506
65417822,507
65417833,508
65417904,509
65417966,510
65417988,511
65418657,512
65419033,513
65419037,514
65419958,515
65419968,516
65419971,517
65419976,518
65419981,519
65420085,520
65421131,521
65421137,522
65421144,523
65422099,524
65422120,525
65422134,526
65422555,527
65422561,528
65422567,529
65422569,530
65422731,531
65422734,532
65422739,533
65422742,534
65423396,535
65423722,536
65423874,537
65423877,538
65424368,539
65424611,540
65424711,541
65424718,542
65424723,543
65424767,544
65424945,545
65424951,546
65424955,547
65425069,548
65426316,549
65426616,550
65426639,551
65427321,552
65427335,553
65427879,554
65427910,555
65428536,556
65429203,557
65429211,558
65429215,559
65429222,560
65429543,561
65429548,562
65429720,563
65429728,564
65429743,565
65429879,566
65429883,567
65429897,568
65429995,569
65429998,570
65430005,571
65431233,572
65431246,573
65431248,574
65432001,575
65432013,576
65432018,577
65432024,578
65432059,579
65432071,580
65432986,581
65433244,582
65433249,583
65433267,584
65433810,585
65434786,586
65434792,587
65434793,588
65434799,589
65434808,590
65435019,591
65439051,592
65439300,593
65439304,594
65440058,595
65440740,596
65440750,597
65440757,598
65440759,599
65440770,600
65440781,601
65441311,602
65441718,603
65441819,604
65442554,605
65443766,606
65443896,607
65443897,608
65443902,609
65443904,610
65443910,611
65443922,612
65443930,613
65444066,614
65444068,615
65444827,616
65444931,617
65445592,618
65445598,619
65445601,620
65445949,621
65447343,622
65447345,623
65447826,624
65447844,625
65447861,626
