orig,dest,trips
13676,13379,1.0
13676,14161,2.0
13676,17184,2.0
13676,13604,3.0
13676,13604,1.0
13676,16352,1.0
13676,13867,2.0
13676,13480,3.0
13676,13868,1.0
13676,13477,1.0
13676,13946,1.0
13676,13475,2.0
13676,13401,2.0
13676,17540,2.0
13676,16126,1.0
13676,16870,1.0
13676,16835,1.0
13676,16836,1.0
13676,13723,3.0
13676,16435,2.0
13676,17056,1.0
13676,4167,1.0
13676,4192,1.0
13676,3801,1.0
13676,5534,1.0
13676,5080,2.0
13676,4935,1.0
13676,3625,1.0
13676,3917,1.0
13676,5203,1.0
13676,3711,1.0
13676,22496,1.0
13676,30671,1.0
13676,18762,1.0
13676,11826,1.0
13676,12020,1.0
13676,16636,1.0
13676,18163,1.0
13676,12520,1.0
13676,18205,1.0
13676,17432,1.0
13676,12682,1.0
13676,12039,1.0
13676,14891,1.0
13676,15043,1.0
13676,12879,1.0
13676,12935,1.0
13676,19345,1.0
13676,12917,1.0
13676,18953,1.0
13676,11274,1.0
13676,8315,1.0
13676,10242,1.0
13676,9480,1.0
13676,14539,1.0
13676,17967,1.0
13676,17754,1.0
13676,6584,1.0
13676,16428,1.0
14215,14211,1.0
14215,13990,1.0
14215,16787,1.0
14215,14097,1.0
14215,13934,1.0
14215,14125,1.0
14215,14124,2.0
14215,18011,1.0
14215,16521,1.0
14215,18011,1.0
14215,13873,1.0
14215,14048,1.0
14215,13799,2.0
14215,13584,1.0
14215,15641,1.0
14215,13342,1.0
14215,17486,1.0
14215,15367,1.0
14215,13470,1.0
14215,13588,2.0
14215,15301,1.0
14215,13587,1.0
14215,18006,1.0
14215,15933,1.0
14215,18007,1.0
14215,14023,1.0
14215,13544,1.0
14215,15667,1.0
14215,17639,1.0
14215,13884,1.0
14215,18170,1.0
14215,15425,1.0
14215,13836,1.0
14215,15919,2.0
14215,13819,1.0
14215,13897,1.0
14215,13532,2.0
14215,17491,1.0
14215,17490,1.0
14215,17130,1.0
14215,18165,1.0
14215,16565,1.0
14215,13685,1.0
14215,16132,1.0
14215,16546,1.0
14215,13807,1.0
14215,15439,1.0
14215,17600,1.0
14215,17185,1.0
14215,13803,1.0
14215,13604,1.0
14215,13868,1.0
14215,13475,1.0
14215,14335,1.0
14215,13723,1.0
14215,5125,1.0
14215,3424,1.0
14215,3824,1.0
14215,18284,1.0
14215,12145,1.0
14215,12478,1.0
14215,14891,1.0
14215,13034,1.0
14215,12942,1.0
14215,13168,1.0
14215,21933,1.0
14215,19137,1.0
14215,13218,1.0
14215,16428,1.0
13641,14093,1.0
13641,14171,1.0
13641,14211,2.0
13641,13990,1.0
13641,13756,1.0
13641,16787,3.0
13641,16786,1.0
13641,13892,1.0
13641,13889,1.0
13641,18136,1.0
13641,15832,1.0
13641,14036,3.0
13641,13714,1.0
13641,13934,4.0
13641,13579,1.0
13641,14125,3.0
13641,13795,1.0
13641,14124,1.0
13641,18011,2.0
13641,18011,5.0
13641,13873,1.0
13641,13597,6.0
13641,15994,1.0
13641,16959,5.0
13641,14182,6.0
13641,14048,8.0
13641,13799,4.0
13641,14047,5.0
13641,18010,2.0
13641,14084,5.0
13641,15641,2.0
13641,17997,3.0
13641,13342,3.0
13641,13962,1.0
13641,18021,2.0
13641,17486,2.0
13641,15367,2.0
13641,15368,2.0
13641,13470,1.0
13641,13588,3.0
13641,14054,3.0
13641,15302,3.0
13641,15301,1.0
13641,13587,3.0
13641,17982,7.0
13641,14260,2.0
13641,14288,3.0
13641,15297,3.0
13641,18006,5.0
13641,15451,3.0
13641,16353,1.0
13641,13832,1.0
13641,13937,1.0
13641,15933,3.0
13641,13737,2.0
13641,13995,1.0
13641,13978,3.0
13641,14025,8.0
13641,18171,3.0
13641,18007,3.0
13641,14146,7.0
13641,14228,2.0
13641,14023,4.0
13641,13605,6.0
13641,15939,3.0
13641,13544,1.0
13641,16891,1.0
13641,15667,5.0
13641,17639,4.0
13641,13560,1.0
13641,13559,2.0
13641,13920,3.0
13641,13965,6.0
13641,13986,5.0
13641,13919,8.0
13641,13884,5.0
13641,18170,5.0
13641,15425,4.0
13641,13836,4.0
13641,13590,4.0
13641,13953,3.0
13641,13616,4.0
13641,15919,1.0
13641,15457,1.0
13641,13944,3.0
13641,13819,2.0
13641,13897,4.0
13641,13910,4.0
13641,13898,1.0
13641,16750,1.0
13641,13532,1.0
13641,13532,6.0
13641,17491,4.0
13641,16284,3.0
13641,13560,3.0
13641,17130,1.0
13641,13844,1.0
13641,18165,1.0
13641,16565,3.0
13641,14164,1.0
13641,16132,2.0
13641,13762,3.0
13641,14057,1.0
13641,13533,2.0
13641,13689,2.0
13641,17068,1.0
13641,13530,1.0
13641,13632,1.0
13641,17056,1.0
13641,13807,1.0
13641,14020,1.0
13641,15950,2.0
13641,17600,1.0
13641,14161,3.0
13641,17184,1.0
13641,13803,1.0
13641,13604,1.0
13641,16352,1.0
13641,15385,4.0
13641,13868,1.0
13641,13481,1.0
13641,15386,2.0
13641,13475,1.0
13641,16126,2.0
