LINK,A,B,a0,a1,a2,a3,a4
40989,19109,19110,22.1885490255,0.0,0.0,0.0,5.07282785219e-12
40990,19109,20597,163.184376698,0.0,0.0,0.0,3.73078136026e-11
40991,19110,21883,22.1714536327,0.0,0.0,0.0,5.0689194405e-12
40992,19110,19111,67.8886562817,0.0,0.0,0.0,1.55209547969e-11
40993,19111,19110,67.8886562817,0.0,0.0,0.0,1.55209547969e-11
40994,19111,20523,32.0087469322,0.0,0.0,0.0,4.80131203983e-12
40995,19111,20597,127.32600373,0.0,0.0,0.0,1.90989005595e-11
40996,19112,19778,1.42601188122,0.0,0.0,0.0,3.26020091728e-13
40997,19112,21049,31.2080827318,0.0,0.0,0.0,4.68121240977e-12
40998,19113,20822,1.56963482819,0.0,0.0,0.0,3.58855699174e-13
40999,19113,20820,15.662247615,0.0,0.0,0.0,3.58076077162e-12
41000,19114,21379,1.37497139546,0.0,0.0,0.0,3.14351027768e-13
41001,19114,20494,53.1916455335,0.0,0.0,0.0,1.21608700351e-11
41002,19115,21366,1.22077578018,0.0,0.0,0.0,2.7909825793e-13
41003,19115,19114,27.4305542626,0.0,0.0,0.0,6.27127440846e-12
41004,19116,21371,0.906656972556,0.0,0.0,0.0,2.07283258472e-13
41005,19116,19164,25.9840845495,0.0,0.0,0.0,5.94057717181e-12
41006,19117,19118,11.1399348572,0.0,0.0,0.0,2.54685296233e-12
41007,19117,19313,11.1162472521,0.0,0.0,0.0,2.54143741475e-12
41008,19117,21382,0.86459217695,0.0,0.0,0.0,1.97666249874e-13
41009,19118,21381,1.21874223087,0.0,0.0,0.0,4.46316734937e-13
41010,19118,19863,18.6795552469,0.0,0.0,0.0,4.27058876244e-12
41011,19119,20653,0.839547259698,0.0,0.0,0.0,1.25932088955e-13
41012,19119,19728,3.77496164335,0.0,0.0,0.0,8.63045643199e-13
41013,19120,20228,86.3771788969,0.0,0.0,0.0,1.29565768345e-11
41014,19121,19921,14.3433694397,0.0,0.0,0.0,3.27923398256e-12
41015,19121,21115,66.5029847285,0.0,0.0,0.0,9.97544770927e-12
41016,19122,20601,67.3836937568,0.0,0.0,0.0,2.46766456629e-11
41017,19122,19106,46.864261378,0.0,0.0,0.0,1.07142801504e-11
41018,19122,20198,37.523017372,0.0,0.0,0.0,8.57865051944e-12
41019,19123,21887,97.9049231021,0.0,0.0,0.0,2.23833843398e-11
41020,19124,21034,102.061464595,0.0,0.0,0.0,2.33336681744e-11
41021,19125,19126,66.3700884433,0.0,0.0,0.0,1.51737742211e-11
41022,19126,20597,62.5123278899,0.0,0.0,0.0,9.37684918348e-12
41023,19126,19090,180.514150913,0.0,0.0,0.0,2.7077122637e-11
41024,19126,19125,66.3700884433,0.0,0.0,0.0,1.51737742211e-11
41025,19126,19865,167.547421667,0.0,0.0,0.0,3.83053090232e-11
41026,19127,21509,1.48894247868,0.0,0.0,0.0,3.40407516845e-13
41027,19127,19359,91.7490526968,0.0,0.0,0.0,2.09760065608e-11
41028,19128,21508,1.2834915123,0.0,0.0,0.0,2.93436559739e-13
41029,19128,19866,18.5437557287,0.0,0.0,0.0,4.23954177611e-12
41030,19129,21228,1.68254907048,0.0,0.0,0.0,6.16167872491e-13
41031,19129,19324,9.18422015467,0.0,0.0,0.0,2.09973025941e-12
41032,19130,21141,2.85218188756,0.0,0.0,0.0,1.04450020296e-12
41033,19130,18976,14.3644795107,0.0,0.0,0.0,3.2840602448e-12
41034,19131,19230,38.8688018171,0.0,0.0,0.0,8.88632871905e-12
41035,19131,21422,65.0002652196,0.0,0.0,0.0,1.48606001874e-11
41036,19132,19133,14.8065271569,0.0,0.0,0.0,5.42231219124e-12
41037,19132,20985,1.49517658004,0.0,0.0,0.0,5.47550017105e-13
41038,19132,19379,18.5846731429,0.0,0.0,0.0,4.24889646613e-12
41039,19133,19132,14.8065271569,0.0,0.0,0.0,5.42231219124e-12
41040,19134,20813,1.34101419301,0.0,0.0,0.0,3.06587606998e-13
41041,19134,21443,416.863426008,0.0,0.0,0.0,9.53048527683e-11
41042,19134,19158,41.9173606547,0.0,0.0,0.0,9.5833014757e-12
41043,19135,19316,33.9323812685,0.0,0.0,0.0,7.75774606047e-12
41044,19135,20969,15.7452201261,0.0,0.0,0.0,3.59973025288e-12
41045,19135,20069,36.3550190156,0.0,0.0,0.0,8.31161843063e-12
41046,19136,19038,258.600490334,0.0,0.0,0.0,5.91221971499e-11
41047,19136,19491,76.6211084156,0.0,0.0,0.0,1.75174001865e-11
41048,19136,21786,148.778152184,0.0,0.0,0.0,3.40142094614e-11
41049,19137,19138,61.2114831148,0.0,0.0,0.0,1.39943948593e-11
41050,19137,19441,61.9584931341,0.0,0.0,0.0,1.4165179043e-11
41051,19137,20901,59.7435061567,0.0,0.0,0.0,1.36587805571e-11
